sport,dport,ack_in,ack_out,byte,duration,flow,inbyte,outbyte,inpacket,outpacket,packet,psh_in,psh_out
65485,443,113,111,27284,1000000,1,7329,19955,113,111,224,9,104
65485,443,106,106,25618,1000000,1,6693,18925,106,106,212,7,99
65485,443,96,96,23100,1000000,1,5843,17257,96,96,192,5,91
65485,443,92,92,21922,1000000,1,5984,15938,92,92,184,8,84
65485,443,114,114,27488,1000000,1,7359,20129,114,114,228,9,105
65485,443,107,107,25506,1000000,1,6842,18664,107,107,214,8,99
65485,443,86,86,20551,1000000,1,5672,14879,86,86,172,8,79
65485,443,98,98,23364,1000000,1,6193,17171,98,98,196,7,91
65485,443,86,86,20508,1000000,1,5406,15102,86,86,172,6,80
65485,443,76,76,18480,1000000,1,4358,14122,76,76,152,2,74
65485,443,77,77,18402,1000000,1,4793,13609,77,77,154,5,72
65485,443,84,85,20100,1000000,1,5425,14675,84,85,169,7,78
65485,443,81,81,19290,1000000,1,5148,14142,81,81,162,6,75
65485,443,92,90,22304,1000000,1,5373,16931,92,90,182,3,88
65485,443,105,104,25120,1000000,1,7012,18108,105,104,209,10,95
65485,443,101,102,24242,1000000,1,6518,17724,101,102,203,8,94
65485,443,83,82,19934,1000000,1,5244,14690,83,82,165,6,77
65485,443,81,81,19842,1000000,1,4525,15317,81,81,162,1,80
65485,443,81,80,19346,1000000,1,5275,14071,81,80,161,7,74
65485,443,45,44,9884,1000000,1,3871,6013,45,44,89,11,34
65485,443,29,29,7070,1000000,1,1737,5333,29,29,58,1,28
65485,443,34,34,7932,1000000,1,2344,5588,34,34,68,4,30
65485,443,38,38,8635,1000000,1,2846,5789,38,38,76,6,32
65485,443,47,45,10593,1000000,1,3935,6658,47,45,92,11,36
65485,443,44,43,10028,1000000,1,3531,6497,44,43,87,9,35
65485,443,40,40,9084,1000000,1,3049,6035,40,40,80,7,33
65485,443,43,41,9607,1000000,1,3477,6130,43,41,84,9,34
65485,443,43,39,9784,1000000,1,3338,6446,43,39,82,8,34
65485,443,37,37,8497,1000000,1,3026,5471,37,37,74,8,30
65485,443,33,33,7578,1000000,1,2417,5161,33,33,66,5,28
65485,443,43,42,9686,1000000,1,3604,6082,43,42,85,10,33
65485,443,37,34,8498,1000000,1,2772,5726,37,34,71,6,31
65485,443,32,32,7656,1000000,1,1982,5674,32,32,64,2,30
65485,443,48,47,10676,1000000,1,4116,6560,48,47,95,12,36
65485,443,48,48,10860,1000000,1,3759,7101,48,48,96,9,39
65485,443,47,47,10526,1000000,1,3832,6694,47,47,94,10,37
65485,443,28,28,6564,1000000,1,1893,4671,28,28,56,3,25
65485,443,74,74,17772,1000000,1,4504,13268,74,74,148,4,70
65485,443,82,82,20251,1000000,1,4730,15521,82,82,164,2,80
65485,443,90,90,22099,1000000,1,5277,16822,90,90,180,3,88
65485,443,80,80,19368,1000000,1,4713,14655,80,80,160,3,77
65485,443,83,84,19772,1000000,1,5776,13996,83,84,167,10,74
65485,443,26,25,5479,1000000,1,2547,2932,26,25,51,9,17
65485,443,30,29,7111,1000000,1,2001,5110,30,29,59,3,27
65485,443,43,43,9843,1000000,1,3338,6505,43,43,86,8,35
65485,443,38,37,8671,1000000,1,2965,5706,38,37,75,7,31
65485,443,26,25,5664,1000000,1,2039,3625,26,25,51,5,20
65485,443,22,23,5172,1000000,1,1696,3476,22,23,45,4,19
65485,443,63,62,15223,1000000,1,3680,11543,63,62,125,2,60
65485,443,111,110,27082,1000000,1,6975,20107,111,110,221,7,105
65485,443,95,95,23318,1000000,1,5662,17656,95,95,190,4,91
65485,443,105,105,25809,1000000,1,6262,19547,105,105,210,4,101
65485,443,95,95,23006,1000000,1,6055,16951,95,95,190,7,89
65485,443,106,106,26385,1000000,1,6038,20347,106,106,212,2,104
65485,443,117,115,28502,1000000,1,7624,20878,117,115,232,10,106
65485,443,133,133,32981,1000000,1,8790,24191,133,133,266,12,123
65485,443,76,76,18226,1000000,1,5061,13165,76,76,152,7,69
65485,443,44,44,10188,1000000,1,3150,7038,44,44,88,6,38
65485,443,54,53,12183,1000000,1,4325,7858,54,53,107,11,43
65485,443,53,53,12544,1000000,1,3795,8749,53,53,106,7,46
65485,443,54,54,12217,1000000,1,4325,7892,54,54,108,11,43
65485,443,51,50,11762,1000000,1,3921,7841,51,50,101,9,42
65485,443,45,44,10725,1000000,1,2950,7775,45,44,89,4,41
65485,443,46,46,11210,1000000,1,2865,8345,46,46,92,3,43
65485,443,36,36,8424,1000000,1,2452,5972,36,36,72,4,32
65485,443,85,84,19960,1000000,1,6158,13802,85,84,169,12,74
65485,443,100,100,23925,1000000,1,6476,17449,100,100,200,8,92
65485,443,101,100,24391,1000000,1,6022,18369,101,100,201,4,96
65485,443,104,105,25273,1000000,1,6414,18859,104,105,209,6,99
65485,443,119,122,28954,1000000,1,7848,21106,119,122,241,10,112
65485,443,94,95,23018,1000000,1,5735,17283,94,95,189,5,90
65485,443,112,110,27077,1000000,1,7720,19357,112,110,222,12,100
65485,443,91,91,22861,1000000,1,5760,17101,91,91,182,6,86
65485,443,82,81,19981,1000000,1,4555,15426,82,81,163,1,80
65485,443,129,128,31524,1000000,1,8133,23391,129,128,257,9,121
65485,443,109,109,25796,1000000,1,7319,18477,109,109,218,11,98
65485,443,77,77,18782,1000000,1,4468,14314,77,77,154,2,75
65485,443,89,87,21433,1000000,1,5771,15662,89,87,176,7,82
65485,443,110,110,26731,1000000,1,6762,19969,110,110,220,6,104
65485,443,106,104,24470,1000000,1,7768,16702,106,104,210,16,90
65485,443,94,94,22704,1000000,1,6025,16679,94,94,188,7,88
65485,443,69,68,16523,1000000,1,4647,11876,69,68,137,7,62
65485,443,87,87,21105,1000000,1,5484,15621,87,87,174,6,81
65485,443,87,87,21061,1000000,1,5520,15541,87,87,174,6,82
65485,443,89,88,21635,1000000,1,5529,16106,89,88,177,5,84
65485,443,85,85,20612,1000000,1,5317,15295,85,85,170,5,81
65485,443,107,107,25134,1000000,1,7175,17959,107,107,214,11,96
65485,443,101,100,24253,1000000,1,6419,17834,101,100,201,7,94
65485,443,100,98,23918,1000000,1,6833,17085,100,98,198,11,89
65485,443,100,100,24328,1000000,1,6337,17991,100,100,200,7,93
65485,443,97,96,23720,1000000,1,5540,18180,97,96,193,2,94
65485,443,94,94,23197,1000000,1,6033,17164,94,94,188,7,88
65485,443,82,83,20204,1000000,1,4738,15466,82,83,165,2,81
65485,443,117,118,28241,1000000,1,8260,19981,117,118,235,14,105
65485,443,103,105,24990,1000000,1,6475,18515,103,105,208,7,98
65485,443,92,92,22408,1000000,1,5798,16610,92,92,184,6,86
65485,443,95,95,23366,1000000,1,5845,17521,95,95,190,5,90
65485,443,99,97,23116,1000000,1,7033,16083,99,97,196,13,86
65485,443,106,106,25670,1000000,1,6510,19160,106,106,212,6,100
65485,443,105,105,24267,1000000,1,7738,16529,105,105,210,16,89
65485,443,40,40,9331,1000000,1,3049,6282,40,40,80,7,34
65485,443,26,26,5893,1000000,1,2051,3842,26,26,52,5,21
65485,443,28,28,6300,1000000,1,2274,4026,28,28,56,6,22
65485,443,49,46,10336,1000000,1,4817,5519,49,46,95,17,32
65485,443,29,29,6403,1000000,1,2455,3948,29,29,58,7,22
65485,443,29,28,6573,1000000,1,2340,4233,29,28,57,6,23
65485,443,36,36,8249,1000000,1,2833,5416,36,36,72,7,29
65485,443,26,26,5772,1000000,1,2190,3582,26,26,52,6,20
65485,443,48,46,10323,1000000,1,4497,5826,48,46,94,15,33
65485,443,21,19,4736,1000000,1,1769,2967,21,19,40,5,16
65485,443,31,32,7193,1000000,1,2321,4872,31,32,63,5,27
65485,443,30,29,7004,1000000,1,2267,4737,30,29,59,5,25
65485,443,40,40,8976,1000000,1,3176,5800,40,40,80,8,32
65485,443,35,35,8070,1000000,1,2525,5545,35,35,70,5,30
65485,443,25,26,6107,1000000,1,1350,4757,25,26,51,0,25
65485,443,35,34,8125,1000000,1,2537,5588,35,34,69,5,30
65485,443,36,36,8340,1000000,1,2603,5737,36,36,72,5,31
65485,443,40,39,9171,1000000,1,3081,6090,40,39,79,7,33
65485,443,43,43,9510,1000000,1,3604,5906,43,43,86,10,33
65485,443,43,42,9793,1000000,1,3362,6431,43,42,85,8,35
65485,443,40,40,9084,1000000,1,3049,6035,40,40,80,7,33
65485,443,32,32,7568,1000000,1,2109,5459,32,32,64,3,29
65485,443,28,28,6373,1000000,1,2147,4226,28,28,56,5,23
65485,443,41,41,9342,1000000,1,3115,6227,41,41,82,7,34
65485,443,55,55,12902,1000000,1,3732,9170,55,55,110,6,49
65485,443,107,105,25675,1000000,1,7104,18571,107,105,212,10,97
65485,443,107,107,25731,1000000,1,6703,19028,107,107,214,7,100
65485,443,73,73,17982,1000000,1,3966,14016,73,73,146,0,73
